"","MIF","SPP1","CD44","CD74","CXCR4"
"CD79A+ B cells type 1_carotid"," 9.779379"," 0.000000"," 7.700870","31.757565","43.380863"
"CD79A+ B cells type 1_femoral"," 6.5328760"," 0.0406587"," 7.6782439","60.7246526","23.1123550"
"CD79A+ B cells type 2_carotid"," 7.3454003"," 0.9331645"," 5.1811955","99.3424352","44.4959948"
"CD79A+ B cells type 2_femoral"," 7.18437865"," 0.09771849"," 4.94942661","71.89384126","37.47895584"
"CXCL8+ T cells_carotid"," 7.693567"," 1.945196"," 9.275089"," 6.725342","30.808813"
"CXCL8+ T cells_femoral"," 6.5805422"," 0.2818337"," 9.0474183"," 5.7692563","34.1174950"
"Dendritic cells_carotid"," 6.089057"," 2.243986"," 3.989727","46.520164","30.375458"
"Dendritic cells_femoral"," 5.24642254"," 0.04052524"," 2.20869660","83.49410725","38.56215207"
"GZMH+ CD8+ T cells_carotid"," 7.3114232"," 0.4180566"," 9.1418456"," 5.3361379","32.7386904"
"GZMH+ CD8+ T cells_femoral"," 7.78813263"," 0.06679595"," 6.45103774"," 5.11725027","33.19651160"
"GZMK+ CD8+ T cells_carotid"," 8.4094414"," 0.2437849","10.2759208"," 6.4306201","59.9441611"
"GZMK+ CD8+ T cells_femoral"," 8.5908830"," 0.1179839"," 8.8195242"," 6.3547477","54.2584420"
"IFN-associated Myeloid cells_carotid"," 8.201462"," 1.639394","10.513315"," 3.812934","31.927308"
"IFN-associated Myeloid cells_femoral"," 6.54087197"," 0.08028366","10.26259889"," 2.15318141","19.02449994"
"IL1B- APOE+ Macrophages_carotid","14.468175","29.149962"," 3.454344","78.137059"," 1.406370"
"IL1B- APOE+ Macrophages_femoral","10.7981727","32.3848271"," 2.4454201","88.6390836"," 0.9977956"
"IL1B+ APOE- Macrophages_carotid"," 6.146515"," 2.621286","11.571235","46.986988","12.072255"
"IL1B+ APOE- Macrophages_femoral"," 5.4967113"," 0.9480091"," 7.9287083","95.4142309"," 6.6724742"
"IL1B+ APOE+ Macrophages_carotid","12.53441","58.66512","10.82611","34.83737","16.72128"
"IL1B+ APOE+ Macrophages_femoral","  8.909471","110.838410","  6.342815"," 50.478567","  9.962242"
"IL7R+ CD4+ Effector T cells_carotid","10.438917"," 0.274985","10.366126"," 3.199723","51.484144"
"IL7R+ CD4+ Effector T cells_femoral","11.03169587"," 0.07710878"," 8.57182370"," 2.56746757","45.58175319"
"KIT+ Mast cells_carotid"," 8.617856"," 5.862994","11.653809"," 6.386912","19.458124"
"KIT+ Mast cells_femoral"," 7.4727556"," 0.0493882","13.2361300"," 0.9744912"," 2.2896908"
"LYVE1+ Macrophages_carotid","  4.803951"," 16.012228","  9.517537","106.428418","  6.151879"
"LYVE1+ Macrophages_femoral","  3.89232"," 10.81445","  9.23182","110.02858","  4.27661"
"Monocytes_carotid","11.819894"," 8.963006"," 6.568303"," 1.508054","10.690711"
"Monocytes_femoral","0.6211059","0.3518652","6.1977725","1.6176477","9.5714458"
"Natural Killer cells_carotid"," 7.2723901"," 0.4948255"," 7.5189342"," 3.7521627","29.3077772"
"Natural Killer cells_femoral"," 7.9767457"," 0.1316238"," 5.7947107"," 3.9937503","34.5156363"
"Plasma cells_carotid"," 4.500695"," 5.683943"," 6.114241","21.486912","14.360304"
"Plasma cells_femoral"," 6.138275"," 7.716795"," 5.740593","29.581285","11.341465"
"TIGIT+ CD4+ Treg cells_carotid","10.9634417"," 0.3332444"," 7.9708558"," 9.0948343","25.5992262"
"TIGIT+ CD4+ Treg cells_femoral","10.10638077"," 0.04556773"," 7.49010724"," 6.49539873","26.18336072"
